# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 10 12:54:50 BST 2021 [seed=1620647689472]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/mayLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-3634.1135059112803	-66.12174634749704	-3567.9917595637835	0.8278550174972409	2008.498172379763	8.090088859643057	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	9.999999999999998E-4	6.5329539412953215E-16	0.9913793103448277	-3567.9917595637835	0.0	-66.5433748133897
100000	-2854.2854934045786	-117.18183761915515	-2737.1036557854236	0.7225261679216972	2008.6035012293387	13.627075067613964	7.3453924790481855	4.465723482168588	9.092390031797466	0.3542341085577844	0.18050402754361067	0.21989422961152935	0.2453676342870758	0.3619308599926004	0.0018735019667252028	0.0022444333472256784	0.0020947860664471975	0.0903102811286812	3.986929406113845E-15	-2737.1036557854236	0.0	-113.65501383671337
200000	-2810.6829397592664	-83.14026001528558	-2727.542679743981	0.44824251631482925	2008.8777848809455	7.474606314311488	5.804482686762345	8.63550623134338	13.143242590948816	0.3645648012762492	0.18566087359578404	0.20402487968271427	0.24574944544525243	0.4628195950117783	0.0036165739171925273	0.0034113958001411987	0.0035055547175412817	0.029329306443419804	1.1545135182569401E-13	-2727.542679743981	0.0	-77.8251748849062
300000	-2703.993097968545	25.252231476443598	-2729.245329444989	0.18190499570782748	2009.1441224015525	1.8424006600594818	0.26411339248970434	5.967997825459111	13.720494691119363	0.3442392720024655	0.1803744553312737	0.21963311191496226	0.25575316075129784	0.5609909735959935	0.0083923763709813	0.018156014806391924	0.012598524942989986	0.36699526111272873	-4.4851310527835945E-15	-2729.245329444989	0.0	30.995039548658426
400000	-2696.900109481175	34.30838336061717	-2731.208492841792	0.1621111637234839	2009.1639162335368	1.5806941646427264	0.48288378970262635	23.306164510254607	10.072453491468774	0.3640760524393106	0.1866031189009894	0.21590065712600803	0.2334201715336917	0.25438556576497323	0.007760587633570057	0.02117150433808517	0.01323089047559714	0.4618124422921831	4.252315832147357E-15	-2731.208492841792	0.0	39.49754711113491
500000	-2712.9741445109785	27.316175961259198	-2740.2903204722375	0.2000878788448466	2009.1259395184154	1.6992461261464904	0.5699409590832744	18.972070750743534	16.48410042646234	0.3504395549692449	0.18996684681230935	0.218798158160388	0.2407954400580577	0.030092139336397254	0.008738779475677414	0.022234084479700877	0.01554389732447477	0.43430172189366906	-4.6104761465999E-15	-2740.2903204722375	0.0	33.11258195856807
600000	-2707.10986826555	30.160685732704806	-2737.270553998255	0.14450319211146412	2009.181524205149	1.6224399176723534	0.5654253849874177	21.60212496768344	10.573580006130422	0.3417730642613837	0.1719175317322562	0.22350297201845634	0.26280643198790343	0.49189583992821434	0.012689690812445786	0.018617491157117135	0.015412518809830784	0.18951507620861108	8.502549185372834E-15	-2737.270553998255	0.0	36.15116788616406
700000	-2707.6316435213826	21.464620509892214	-2729.0962640312746	0.177522923186287	2009.1485044740741	1.9127916395621332	0.4677415419930478	11.656497452339334	6.283675104271557	0.3559194534453254	0.18109917762804398	0.22581118742471273	0.2371701815019175	0.36077029574339253	0.008840006401310024	0.020713552622998545	0.013842653860102333	0.4006904702315152	-7.1383832056571E-15	-2729.0962640312746	0.0	25.81022204708951
800000	-2699.729621316005	43.09819648156962	-2742.8278177975744	0.08847877355103935	2009.2375486237092	1.466663661906383	1.7188209231620823	60.07106290567598	10.838427184635623	0.35596342660035063	0.18882081776589896	0.22372308308026057	0.23149267255348932	0.22841616431416073	0.01373847439179141	0.010832683110300988	0.011737020479695864	0.11898599919081533	5.288905552743696E-15	-2742.8278177975744	0.0	49.677869463456894
900000	-2701.293545734523	33.455472894780506	-2734.7490186293035	0.12497284063426181	2009.201054556626	1.512159490237289	0.3287428120652027	11.713551591738732	14.662420963307678	0.35168179424120605	0.18460768394632002	0.23185086296135834	0.23185965885111515	0.15844993861498016	0.019002361446924194	0.025313350548013935	0.02207366498291628	0.1426521685020272	-6.863662083445106E-15	-2734.7490186293035	0.0	39.474974596583955
