# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 10 13:10:30 BST 2021 [seed=1620648629994]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/aprLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-4901.72774759234	-119.87211634197814	-4781.855631250362	1.4384692431382642	2007.9724896609712	10.905155660182148	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	9.99999999999999E-4	6.518922666631708E-16	0.9957627118644068	-4781.855631250362	0.0	-120.58671063312757
100000	-3230.5180680318826	-121.1123257411403	-3109.405742290742	0.8166904913618931	2008.5942684127476	10.266022104898042	1.3144394997596838	2.153673320056643	13.20158775896047	0.37415055173807904	0.1885706604904521	0.21926899431611263	0.2180097934553566	0.12636253159051986	0.0027439981977623283	0.010035007255657563	0.005064443374202678	0.5690000473178956	-8.131727496317576E-15	-3109.405742290742	0.0	-117.85448507661285
200000	-3165.198715600812	-57.274069699948456	-3107.9246459008637	0.5683732534899872	2008.8425856506196	6.703924289685743	0.7339011945694944	2.1531637529570675	8.477390275767492	0.33812835747448033	0.20817114038011536	0.22523886830570428	0.22846163383969986	1.1539114983562826	0.003724252567864029	0.01841891092199896	0.00872390789625865	0.6613077619794352	6.907948392526861E-16	-3107.9246459008637	0.0	-52.32397618330877
300000	-3095.0319267223545	16.58435562973758	-3111.616282352092	0.26629633635840927	2009.144662567751	3.8671487022062467	0.5918487485072591	5.81572502699685	10.333297886602129	0.36072132022393666	0.17975552404479656	0.21919593823378952	0.24032721749747682	0.1563322204111265	0.009266083860261752	0.020923659716141886	0.015083425480912798	0.38569218059152016	-8.581917499068942E-15	-3111.616282352092	0.0	20.829592782134487
400000	-3112.589561243639	-21.789849405083423	-3090.7997118385556	0.30802703180811025	2009.1029318723015	4.595597217539478	0.906879967153193	7.05915220001462	7.9352317851793925	0.3498710349504608	0.18321866346522786	0.22268143617463962	0.24422886540967087	2.0398711880291107	0.012439917362954437	0.012042150683949907	0.012216347982605463	0.016283155431394972	8.401054481110792E-14	-3090.7997118385556	0.0	-14.251424291067654
500000	-3060.0769914691964	33.36784188719837	-3093.4448333563946	0.2708914484841373	2009.1400674556253	3.6467718565151617	0.559600576415302	6.96155468583317	10.41588676568423	0.35601860603027713	0.17516819264351163	0.22313048630000518	0.2456827150262053	0.6898875760596259	0.009372885786367474	0.01841623845913203	0.013885553909825338	0.32521273182465793	-2.052557770538397E-14	-3093.4448333563946	0.0	38.657324512129854
600000	-3065.3213804166717	32.28971247546793	-3097.61109289214	0.23336585400531235	2009.1775930501042	3.5408065229289263	0.4645061263808896	4.371560494898102	8.72096216745775	0.3515915595332831	0.18515813009830753	0.23565858297464964	0.22759172739375902	0.19751904528319178	0.008560957432880075	0.02005359498262571	0.014356932750827918	0.40111454238730243	-1.1146069579971113E-14	-3097.61109289214	0.0	36.16678795086804
700000	-3096.878427264527	-2.892438559784929	-3093.9859887047423	0.33451768320456404	2009.076441220905	4.447495730371541	0.775689758102092	7.810907355597419	11.374211800623968	0.36177084194768067	0.17313088677808647	0.21797252036070924	0.24712575091352287	1.8911008815731074	0.008978345064359489	0.01294863449272494	0.01081168048211083	0.18116821795901633	-3.1230322068683035E-14	-3093.9859887047423	0.0	4.785021568449111
800000	-3125.0011689972107	-32.941472726701306	-3092.0596962705094	0.38561400519610894	2009.0253448989133	5.4127566782757075	0.7682959149094929	3.4079008769439914	4.925278657558367	0.3466624854720675	0.19998332646812284	0.20636083469039604	0.2469933533694129	0.7105873539167618	0.006393587737830831	0.01154849446997377	0.008825893397582175	0.28721007048284086	1.8576392487181188E-14	-3092.0596962705094	0.0	-29.47895066062545
900000	-3135.182438422673	-28.30869813549365	-3106.8737402871793	0.3014636645603142	2009.1094952395492	4.760822964810266	1.039863162724411	7.025820376292372	6.709839331841162	0.36919013598547173	0.17840905893458853	0.21601415346394753	0.2363866516159913	2.1395487846792487	0.00861860128811184	0.013979165850815	0.011477021869626522	0.2372351870924939	-1.9442804314354864E-14	-3106.8737402871793	0.0	-20.892534236929784
