# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Apr 11 00:24:53 BST 2021 [seed=1618097092466]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/apr_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-5674.737331506206	-69.82778755589806	-5604.909543950308	1.6555644671641794	2007.6704629300962	8.193150800737985	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-5604.909543950308	0.0	-47.78197797568249
100000	-2750.9591157537225	-23.869778258177632	-2727.089337495545	0.22133763161279815	2009.1046897656474	2.918501532348871	1.5662302407245188	4.071203793114984	0.01927103280085019	12.824890660185362	0.3419324637457546	0.18014929755702244	0.2284170378299078	0.24950120086731542	0.40973276122433205	0.010637976883056866	0.010637976883056871	-2727.089337495545	0.0	-12.868672829150597
200000	-2699.8461339702176	34.826001433814966	-2734.6721354040324	0.1128970502148057	2009.2131303470455	1.466944629126489	6.1473354277591215	35.58492371608454	0.0023213849051778985	7.1047052050717125	0.3398249090869132	0.17691685121781617	0.24365048446133247	0.23960775523393893	1.281545952963036	0.020778032114955925	0.02077803211495593	-2734.6721354040324	0.0	46.796798368124335
300000	-2706.2137969776	28.461704832979443	-2734.6755018105796	0.0925187564990452	2009.2335086407613	1.4907277838106938	0.7645852072303682	59.567550621983806	0.033722481015662	10.807535502453412	0.33965968409419955	0.18393257703242713	0.23842097395650538	0.23798676491686904	0.11309325723501694	0.01703593356846741	0.017035933568467415	-2734.6755018105796	0.0	39.663534935260586
400000	-2742.405428855516	-5.779377061790481	-2736.6260517937258	0.20083637591313716	2009.125191021347	2.405469774031098	2.299190262557823	14.649536195435536	0.015385340923358137	7.703673504412413	0.35677746389806503	0.18300826560383537	0.22241136903308825	0.23780290146501182	0.40194232333604757	0.011235620158639988	0.011235620158639993	-2736.6260517937258	0.0	4.623705488115237
500000	-2717.451050832061	14.177580813455371	-2731.628631645516	0.1593108777167641	2009.1667165195436	1.837974415483184	3.64105228397082	6.870213850256462	0.0041488252116256225	6.6294460653383585	0.3726201007663059	0.1746949394035023	0.21791107782197516	0.23477388200821703	0.19143239521232475	0.019620299331173045	0.019620299331173048	-2731.628631645516	0.0	23.418682268824405
600000	-2678.6774666416522	49.715477986293834	-2728.3929446279462	0.12649808205652702	2009.1995293152038	1.2518627132250655	1.664353048740155	13.058217725643019	0.0041499117898186446	6.508286709263089	0.35892482234176465	0.17459285924805515	0.21039397683096017	0.25608834157921956	0.3529863765208907	0.02137854110640983	0.02137854110640984	-2728.3929446279462	0.0	58.77516470113693
700000	-2708.0148569729618	31.196850750072976	-2739.2117077230346	0.12559396595086925	2009.2004334313094	1.5300939286695314	8.231165884725334	7.234973649127466	0.0010607145046624721	9.929494220128415	0.3560705808801657	0.17681864940169298	0.22325736518341693	0.24385340453472437	0.39483934146034266	0.017230862539232138	0.01723086253923214	-2739.2117077230346	0.0	41.14806586129868
800000	-2744.920594867993	-17.120105576230777	-2727.800489291762	0.1537394227790898	2009.1722879744812	2.675747580724567	1.39592429785818	33.71273291482549	0.046822575342510185	8.6692420866269	0.3470383286615831	0.18110061190977528	0.21241904691472097	0.25944201251392096	0.34428368898847306	0.0101412439805129	0.010141243980512894	-2727.800489291762	0.0	-5.879927502432393
900000	-2746.7333100640512	-15.411195583890715	-2731.3221144801605	0.23117694106030368	2009.0948504562	2.788653108745204	1.4753884968903854	9.297132251375727	0.029979865536889996	3.814315892181352	0.3612064147258678	0.18883457623043032	0.21767411761632344	0.23228489142737851	0.1321653464895137	0.01047419045794258	0.010474190457942574	-2731.3221144801605	0.0	-6.455463791733289
1000000	-2725.9853387631993	11.351234531074748	-2737.336573294274	0.18369516644070094	2009.1423322308196	1.923417117567111	0.6380631374493029	22.59140823247908	0.04310210005243313	14.517501842258273	0.36099847047767003	0.1682573616334719	0.21171187236108682	0.2590322955277717	0.20094832420892828	0.014409519930627326	0.014409519930627317	-2737.336573294274	0.0	22.859592631598474
1100000	-2708.706656118739	33.44473693979382	-2742.151393058533	0.1385562413615504	2009.1874711558987	1.4922555058962383	1.3520347667913186	16.515555387588698	0.007373332516540085	9.427267370307122	0.35875358932702195	0.18780922660914026	0.22933951624792234	0.2240976678159158	0.5997643231000673	0.015746331564532624	0.015746331564532628	-2742.151393058533	0.0	43.80734576846196
1200000	-2738.637810609048	-19.59003950872796	-2719.04777110032	0.16142980595789427	2009.1645975913025	3.041326744270538	0.7716727989890545	232.54707076812974	0.1391364150424524	13.069643693637474	0.34302303313999105	0.18929082672787237	0.24013587857257865	0.2275502615595588	1.845944182973478	0.007941957619822287	0.007941957619822283	-2719.04777110032	0.0	-2.140274196578516
1300000	-2738.597216954475	-8.462459750483415	-2730.1347572039913	0.130803720255114	2009.1952236770053	2.3228054158901013	1.4052602058871229	16.926596095406673	0.021638892518214343	7.884562205170009	0.35180765090952965	0.17924793362479488	0.2231771381490578	0.24576727731661857	0.23255653430157391	0.009147257884447792	0.00914725788444779	-2730.1347572039913	0.0	1.4716810531219437
1400000	-2737.1316814639854	-3.37629173044596	-2733.7553897335392	0.13876733580559464	2009.1872600614547	2.3240514184955625	0.508325252724487	167.31445194888224	0.10939210597311988	26.60017510538347	0.34534659264486645	0.18085808900169836	0.22346346669269213	0.2503318516607442	0.2638583470430247	0.013731013284109039	0.013731013284109033	-2733.7553897335392	0.0	11.754810856674645
1500000	-2740.537927689587	-10.815514810399426	-2729.7224128791877	0.17926782910433625	2009.1467595681559	2.4395676188839	0.5432163656465924	39.61527141466877	0.09899661264619908	10.070150406456134	0.36301555762705107	0.18077380072038396	0.22912158786150777	0.2270890537910583	1.7154667831884938	0.011720183837772114	0.011720183837772102	-2729.7224128791877	0.0	3.6870404578897022
1600000	-2707.9377685849654	34.00249939347695	-2741.9402679784425	0.11495032472910105	2009.2110770725312	1.4176294642264367	2.0038492265818686	15.403260703615793	0.005735791144206202	15.635878653215489	0.3560219516096451	0.18230925682180973	0.21821033536373538	0.2434584562048107	0.23938418325402314	0.017277425039280838	0.017277425039280845	-2741.9402679784425	0.0	44.79006767004879
1700000	-2720.9426575104844	11.468099423223702	-2732.410756933708	0.14625837719344367	2009.179769020067	1.8201390131646717	1.1162137652428763	14.786707236578529	0.01871387964138738	10.629226312933227	0.34905635665390117	0.18983001660290774	0.21441974360240798	0.24669388314078444	2.2067862685363835	0.013942874213615676	0.013942874213615676	-2732.410756933708	0.0	25.866195872867728
1800000	-2741.842039754024	-11.533302105674444	-2730.3087376483495	0.20218907354668916	2009.1238383237137	2.822108667702952	0.39145111748117584	132.17159127234123	0.17126621546751306	14.327199206132368	0.35310050847275326	0.17170765427632662	0.22677875317224558	0.24841308407867582	0.6469787024819691	0.009269256759231861	0.009269256759231868	-2730.3087376483495	0.0	2.6184742532400023
1900000	-2773.0036435340767	-48.16028858749396	-2724.8433549465826	0.29257880405437164	2009.033448593206	6.23837219709745	1.608687239177031	764.3366451925584	0.28282915989003854	9.392721657134132	0.3708349284529923	0.1802102666008255	0.2048213128886785	0.244133492057505	0.3153683558523465	0.004147270327900275	0.004147270327900275	-2724.8433549465826	0.0	-28.48392942249169
2000000	-2781.175190429974	-52.39211538723016	-2728.783075042744	0.28695905505122304	2009.039068342209	4.985687895515922	0.8753382206004691	186.40718032381344	0.25235185659911075	5.729213503618975	0.32309568427622465	0.18701344562282865	0.23281315432046581	0.257077715780482	1.0160846984133884	0.004607772752075378	0.0046077727520753824	-2728.783075042744	0.0	-38.336644494276
2100000	-2767.52504197706	-47.184430541841095	-2720.3406114352188	0.25108316027560706	2009.0749442369847	5.030112709392696	1.1824848872191327	146.83384722831232	0.21399089454981574	14.423281477561925	0.34902074259275195	0.18712312573121243	0.22441650939536933	0.2394396222806674	0.3331911958665398	0.006171005212275772	0.006171005212275774	-2720.3406114352188	0.0	-33.04209095620472
2200000	-2752.0849118820474	-16.598697473426537	-2735.486214408621	0.24083952764216143	2009.085187869618	3.053030506452482	0.4898557323571088	43.121107342492664	0.1515988083882595	12.469680223325552	0.34811059584262205	0.18860473449497225	0.2322292646882131	0.2310554049741938	0.5535880291298542	0.008474688768550313	0.008474688768550315	-2735.486214408621	0.0	-3.889019617151508
