# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 15 01:58:59 GMT 2021 [seed=1610675915020]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-93268.17198757366	-141.45780883256353	-93126.7141787411	0.9980828537080737	2019.163119332084	11.6557617231077	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-93126.7141787411	0.0	-123.04172601523288
10000	-43530.64777873509	-89.55083863449005	-43441.0969401006	0.3739175652076246	2019.7872846205846	6.959192965789449	2.1604432666571616	10.248718989013193	5.1066898013772235	0.29396848591824304	0.18573423741595363	0.2038810957710173	0.316416180894786	0.010294749233195734	0.0014352302587746716	0.0014352302587746697	-43441.0969401006	0.0	-84.98638745531127
20000	-43303.42457629972	-90.87767756783087	-43212.54689873189	0.2896258744788484	2019.8715763113134	7.032046010850782	6.598251273115871	17.506201396771537	4.454907751283235	0.2961587101381491	0.1865249851933114	0.196749247095249	0.3205670575732906	0.01735875342099089	0.0012887291933651663	0.001288729193365166	-43212.54689873189	0.0	-85.26397302146012
30000	-43225.92883314151	-118.18704757127048	-43107.74178557024	0.32422678020321466	2019.836975405589	8.388853813340841	8.694834846245142	17.1588978878906	3.349591022189922	0.297873630645014	0.18381244804180552	0.1929815406435563	0.32533238066962417	0.00770178998773159	0.001109117325343194	0.001109117325343194	-43107.74178557024	0.0	-112.7618385835178
40000	-43161.87843776165	-117.51003523977546	-43044.36840252187	0.2655659094342867	2019.895636276358	8.569878134082929	28.761768472425235	25.623609507331505	3.940544904380185	0.2919522431720202	0.1823176595576496	0.19722592718842155	0.32850417008190863	0.04843512710488991	0.0010063722928145167	0.0010063722928145163	-43044.36840252187	0.0	-110.06306451096052
50000	-43142.03646214847	-145.47785551931992	-42996.55860662915	0.3067944868844787	2019.8544076989078	9.845029428695984	23.401750998358185	21.072649356905266	4.869506245648954	0.2947763860210924	0.18410850550058053	0.19489666689410304	0.3262184415842239	0.09383035563013227	8.470465229279524E-4	8.470465229279521E-4	-42996.55860662915	0.0	-138.18765706764293
60000	-43103.69220084204	-141.93791731806314	-42961.75428352397	0.35521101942988853	2019.8059911663624	10.076151868765635	24.5255913151347	21.546538945840634	4.359988786358222	0.29558591917883525	0.18264995540872941	0.198937922333754	0.3228262030786813	0.042758308778828115	0.0010209382235666115	0.0010209382235666106	-42961.75428352397	0.0	-134.73684326592107
70000	-43067.62519551255	-145.23546060122374	-42922.389734911325	0.34023348027831596	2019.820968705514	9.858712031958797	21.247549838933423	19.244693973815348	4.279362963813402	0.2980655200429945	0.18518963250652237	0.19136681279992393	0.3253780346505593	0.09136756049513219	8.014894005125656E-4	8.014894005125651E-4	-42922.389734911325	0.0	-138.31666844510212
80000	-43060.24333020918	-157.8291400603903	-42902.41419014879	0.40372951748249913	2019.7574726683097	10.30699547223558	12.604473525092262	16.07327476266755	4.9333992029607945	0.29970716353508503	0.1834590568119764	0.19502199259155772	0.3218117870613809	0.049264401716802714	7.808974397151298E-4	7.808974397151297E-4	-42902.41419014879	0.0	-151.6279068383853
90000	-42999.071827239255	-154.21101974120003	-42844.86080749806	0.31863092638874646	2019.8425712594035	10.22793429084132	20.622751878447886	19.03588369064848	3.959942333734741	0.2994696306415833	0.18264208000045495	0.19332987946254235	0.3245584098954197	0.04589257235396717	7.412052083039241E-4	7.412052083039229E-4	-42844.86080749806	0.0	-147.58632464438924
100000	-42974.540836882756	-165.03113244483214	-42809.50970443792	0.4374560341122253	2019.72374615168	10.560308741625024	7.254235445493254	11.515297129575709	4.6704364190567365	0.29964769706743005	0.1849649449327056	0.19434934998675982	0.32103800801310484	0.0183901027588321	7.954362898257498E-4	7.954362898257491E-4	-42809.50970443792	0.0	-159.74069476518002
110000	-42979.80140091745	-162.95181576154624	-42816.849585155906	0.3784292718220583	2019.7827729139701	10.380617217503382	6.15255297054636	10.104788641364522	3.7425615268313766	0.29673251033364534	0.18676573373174626	0.19281557870060445	0.32368617723400406	0.025251880067587894	7.655073206383434E-4	7.655073206383443E-4	-42816.849585155906	0.0	-158.15706293283557
120000	-42980.72835157939	-170.20783724657463	-42810.52051433281	0.4438191294050868	2019.7173830563872	10.6877305538178	6.576755521809709	10.35409277187419	5.319667767906498	0.2936712622459818	0.1860715913518174	0.19558493015073083	0.3246722162514701	0.12674513435539286	7.502990911204382E-4	7.502990911204374E-4	-42810.52051433281	0.0	-164.68812441132891
