# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Apr 28 12:39:52 BST 2021 [seed=1619609990114]
# -working /home/mahan/Downloads/alignment_lab/For_publication/alignments/decLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-114163.40466056403	-766.435779912002	-113396.96888065203	1.9728993864499729	42.048074891107824	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	9.999999999999996E-4	3.318811212943113E-14	0.9993045897079275	-113396.96888065203	0.0	-761.5125796542387
100000	-85379.81331511345	-2098.911578142086	-83280.90173697137	1.8849658389312878	113.95896527263044	28.888411128104927	4.436580207862373	0.440666521966298	4.930822265449917	0.2795226861833624	0.17252138405163958	0.17926333001943665	0.3686925997455618	0.017299620074914892	4.0076946407733205E-4	0.002438460298169274	0.0016280925478137731	0.7172251283718596	-6.012137786515113E-15	-83280.90173697137	0.0	-2091.585305537988
200000	-80693.4591019129	-2222.3465370466847	-78471.11256486621	1.4493496994018784	128.47286155298087	25.84476929534719	8.592979583561124	0.6618810933220438	5.00250666325339	0.27704678368391694	0.17418849563952402	0.18340000963247105	0.3653647110440886	0.015065196760435672	3.555993904490413E-4	0.0014958883700981328	0.0011053669167485325	0.615563955513069	-6.411305154060694E-14	-78471.11256486621	0.0	-2215.2418042527297
300000	-78430.51612051456	-2313.997382095329	-76116.51873841922	1.3406988061707	136.92693717287656	40.17871758981253	7.557022500147884	0.5742061699078299	5.116681076351347	0.2768996847968479	0.17803791214193024	0.18228606835696334	0.3627763347042592	0.012529740601127487	3.957083127556909E-4	0.0012031123898233714	9.443981904757572E-4	0.5048206395946667	3.702404903915089E-14	-76116.51873841922	0.0	-2306.44273711362
400000	-76252.38460542729	-2288.772041845132	-73963.61256358215	1.2838983042253134	134.3986883844677	26.614302137709934	10.45429936451384	0.7033883477627979	5.0358478769649615	0.28491322593430335	0.17516739481319105	0.18506774070522974	0.3548516385472771	0.05317387057139466	4.258369587630136E-4	0.0010763932947088363	8.772308779552374E-4	0.4329499555471066	3.945398026363262E-15	-73963.61256358215	0.0	-2281.6119444004125
500000	-75251.74668439124	-2321.220217793007	-72930.52646659824	1.34120035823915	137.56515959064188	31.602920505615877	10.739563207219408	0.6880075446847719	5.123906231192974	0.2810252619053104	0.1739912191889383	0.18550919771295535	0.35947432119279715	0.04260795579735328	4.05674598144665E-4	9.983639786978217E-4	8.207001613827941E-4	0.42203064330943924	3.66172075298796E-15	-72930.52646659824	0.0	-2313.8966684817374
600000	-74531.3021275739	-2297.4631775404227	-72233.83895003347	1.3017809594939347	136.59054954885423	27.475711432388945	11.410954140170869	0.7196250887874648	4.796140006598265	0.2856830852333813	0.17300476888604274	0.18372056278470478	0.35759158309587236	0.00711104084617024	4.1217618246666086E-4	9.285802237050777E-4	7.744376848382486E-4	0.38508616963954867	-7.936992300535152E-14	-72233.83895003347	0.0	-2290.505031011006
700000	-73850.02764659497	-2200.41579432845	-71649.61185226652	1.1525154659624286	128.82128678456112	23.151893767743406	13.032421766813371	0.7267860772223694	4.846055287851724	0.2829036133060932	0.17664735511508045	0.18525480133846653	0.3551942302403609	0.016883744561469797	4.1316289242119696E-4	0.0010286253316026	8.509777920360351E-4	0.4267692318139333	1.8013244900811877E-14	-71649.61185226652	0.0	-2193.550907079753
800000	-73712.73597208409	-2223.123240522798	-71489.6127315613	1.1708784632646918	130.1448494932541	27.057197977681295	11.584295431684831	0.693569175781925	4.681850023587102	0.28468976220617953	0.17595075988314385	0.1879935548077987	0.35136592310287906	0.01569500785721225	4.2622147381285756E-4	9.250830465308476E-4	7.760745237492372E-4	0.3691089964575008	3.5035837550328786E-14	-71489.6127315613	0.0	-2216.184016591513
900000	-73422.67834441598	-2289.971179090943	-71132.70716532503	1.1832681865155303	134.9178406180788	27.65541257391773	12.621035463333472	0.7345340754250328	4.807551472104792	0.2820895542275739	0.17756111816271172	0.18602139527331538	0.3543279323364003	0.005863639098479688	3.747820815774569E-4	8.880201088094528E-4	7.366005483966717E-4	0.406339318513818	-7.219715912349997E-14	-71132.70716532503	0.0	-2283.03971233144
