# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 10 13:21:18 BST 2021 [seed=1620649277382]
# -working /home/mahan/Downloads/alignment_lab/For_publication/alignments/janLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-42241.664236032106	-28.25084650000338	-42213.4133895321	1.1283402061981485	2018.9536270069166	6.421863842941789	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	9.999999999999994E-4	6.546255795595632E-16	0.9871794871794872	-42213.4133895321	0.0	-28.44488009481563
100000	-40969.58802092988	-26.077091522276472	-40943.5109294076	0.8536746714872367	2019.2282925416275	5.76201671217929	0.918496137640206	1.0188866375681362	5.812015899354191	0.30220439062648097	0.18018008983580822	0.19609154801518858	0.32152397152252243	0.3061648649732131	4.856415963079691E-5	8.572784405634391E-4	3.3713204142025104E-4	0.8785196107488805	-1.794123833489705E-15	-40943.5109294076	0.0	-26.97865433102817
200000	-40948.61295118158	0.26388728088183555	-40948.876838462464	0.4967480865720806	2019.5852191265426	3.0431341694920286	0.4532869304771194	4.867409669427404	5.090724844365053	0.30204533416230844	0.18507382308716946	0.19378053536030262	0.31910030739022	0.25116041108968934	5.146809382447798E-5	0.0016509133475139754	6.892395183272765E-4	0.9234753088288046	NaN	-40948.876838462464	0.0	-0.35778099476858305
300000	-40949.85352133526	-7.959083687709641	-40941.89443764755	0.28566115431729255	2019.7963060587974	2.9513094532036424	3.626017822773108	18.870682460006154	3.41185813922888	0.2985731831233775	0.18586456625409103	0.1947882876968225	0.3207739629257096	0.7083796744933217	1.2911962675762998E-4	0.0012090226450278982	7.312551738215126E-4	0.7957988365577484	-1.6133110489603663E-15	-40941.89443764755	0.0	-6.013669457078518
400000	-40996.470756481125	-45.10706136852548	-40951.3636951126	0.8594983955863875	2019.2224688175284	6.979881095577178	1.9555056557481445	1.8386416989118262	5.01870789409457	0.29987489300420356	0.18163880230652402	0.19433879766522405	0.3241475070240486	0.2957472571621879	9.105502953410056E-5	5.305250168217076E-4	3.13206676977259E-4	0.6989055960998636	3.601694457270764E-16	-40951.3636951126	0.0	-45.72871623157151
500000	-40984.54166539263	-33.05980196238539	-40951.48186343024	0.40429771863511216	2019.6776694944797	5.136565110524489	4.994866023437078	9.990560920871445	2.858630219508187	0.29749058595193056	0.18138026050124142	0.19536691269161813	0.3257622408552109	0.3084849611991163	8.826310497899177E-5	7.079401232997655E-4	4.0988458639096444E-4	0.7680122113841261	-1.2860155300122903E-16	-40951.48186343024	0.0	-32.851247991197056
600000	-40905.75642230448	44.78128656451707	-40950.537708869	0.15795502634278666	2019.924012186772	1.246405092106307	1.3655482857481955	33.04424131096688	4.3639298376763165	0.30322753565415117	0.18339474379326337	0.19392047094340703	0.3194572496091793	0.9062099565754527	6.15907768288115E-4	0.0024287393327618334	0.0017576807459548113	0.5901999608683204	2.0525974417904495E-15	-40950.537708869	0.0	48.62947017051929
700000	-40934.49974459342	3.4437716368818574	-40937.943516230305	0.31478188419773045	2019.7671853289169	2.657624635944416	0.8123870840758091	8.265597737139979	4.023725161466481	0.3009271679947374	0.1807992621335963	0.19399201639732222	0.32428155347434456	0.030174633520943794	1.7360109571820808E-4	0.0014397915381645485	8.514575529647546E-4	0.7743125612292902	-7.569915828155964E-16	-40937.943516230305	0.0	3.140932211384863
800000	-40926.68841459651	24.352914626608083	-40951.04132922312	0.30700871868701407	2019.7749584944277	1.9934033191032403	0.3452757169001483	6.284240109738163	5.222851731436747	0.296147522915303	0.1874332409300092	0.19354265883729768	0.3228765773173905	0.2590658977546088	7.980640654548422E-5	0.0024443637077383	0.0010862858789745427	0.9208170864168569	8.70840893125141E-16	-40951.04132922312	0.0	24.494756202950175
900000	-40904.701712272916	43.3824838444292	-40948.08419611734	0.21257348495334089	2019.8693937281614	1.3252485767086224	0.18938149054238104	6.647772101922639	4.26861409296182	0.29836990332391167	0.18253542370606032	0.19409451199453856	0.3250001609754898	0.09141047095201503	3.360661198051905E-4	0.00394262398728855	0.001760580175729181	0.8304644695078659	-6.339339731683652E-16	-40948.08419611734	0.0	44.04068123600506
1000000	-40936.642547344134	21.73275628597165	-40958.375303630106	0.16523415143430426	2019.9167330616804	1.6967640453739556	0.9036032235331929	18.506022857805533	5.40937040564129	0.29969472010296144	0.18777635522593683	0.19782844394900853	0.3147004807220933	1.0819630264138373	7.007492601461705E-4	0.0017117449929331943	0.001344523276551357	0.41720781492901815	1.2937416100558625E-15	-40958.375303630106	0.0	25.342542164322733
1100000	-40947.84572654751	0.5291230114040522	-40948.37484955891	0.2758593405135188	2019.8061078726012	2.6338073517933625	1.2977414773567721	12.707801439371003	2.3300787096524895	0.29864735713962076	0.18050451115176697	0.19678521106502492	0.3240629206435872	0.42764733699041824	2.1870455056684064E-4	0.0017784004191169574	9.974334762080745E-4	0.7706143074418855	2.5723291502177725E-16	-40948.37484955891	0.0	1.063179335612734
1200000	-40986.87061643057	-38.97906001007324	-40947.891556420494	0.6540303316042384	2019.4279368815105	5.993084614079247	1.6462587660891341	4.142005137709542	4.84274757644169	0.3023194982916201	0.1837689136287639	0.19276565050820177	0.3211459375714141	0.8888406598917435	7.540032641380911E-5	6.250373607983847E-4	3.517249650046572E-4	0.77422080126464	-1.5998806872439196E-16	-40947.891556420494	0.0	-38.45511764640682
1300000	-40880.71689707149	64.9751701629661	-40945.69206723446	0.11879018893096906	2019.9631770241838	0.8462755068716799	0.14698935880065664	9.827241906043763	3.8726722804562543	0.2944224676378261	0.1837332752447392	0.1975282941002767	0.3243159630171577	0.8088237618779023	1.971295736492519E-4	0.004207371804235782	0.0023813212776006305	0.8955604045941425	4.0566235345040265E-16	-40945.69206723446	0.0	67.11329060288713
1400000	-40903.042425488326	43.85549103810655	-40946.89791652643	0.14343838427481231	2019.93852882884	1.2595801343055015	0.39073818645016334	14.349390091232253	4.5549421187536705	0.2980647193855377	0.18128526888846322	0.19930310879450688	0.3213469029314917	0.02406397759959922	2.8462033135137784E-4	0.0027853529420611813	0.0015343175066959798	0.8031062993937956	7.025824837928384E-17	-40946.89791652643	0.0	44.640722689433964
1500000	-40892.57347499816	55.44582206669132	-40948.01929706485	0.19747970597344788	2019.8844875071413	1.154500438833412	0.14380534803822337	8.006614593564366	5.045004237294408	0.2984666517987947	0.18594268500602326	0.19612402374161123	0.31946663945357034	0.28207247666677765	2.7911083194989917E-4	0.004220418987746109	0.0018042730197194547	0.8623056029210228	3.391304448040438E-16	-40948.01929706485	0.0	56.71941612561746
